GEOID,STATEFP,STATE,COUNTYFP,COUNTY,TOT_POP21,NHSP_POP21,HSP_POP21,WHT_NHSP21,BLK_NHSP21,AIA_NHSP21,ASN_NHSP21,HPI_NHSP21,OTH_NHSP21,2OM_NHSP21,BLK_ALL21,AIA_ALL21,ASN_ALL21,HPI_ALL21,OTH_ALL21
35001,35, New Mexico,001,Bernalillo County,674919,333082,341837,251097,16272,26801,17090,286,3092,18444,29452,46547,26775,2217,138369
35003,35, New Mexico,003,Catron County,3581,2970,611,2868,13,63,0,0,0,26,13,89,0,0,211
35005,35, New Mexico,005,Chaves County,65014,27062,37952,24141,897,451,651,25,202,695,1419,1708,814,113,13213
35006,35, New Mexico,006,Cibola County,27284,16664,10620,4998,365,10821,46,9,24,401,541,12091,73,9,2618
35007,35, New Mexico,007,Colfax County,12406,6268,6138,5748,100,150,13,0,23,234,149,569,40,8,1932
35009,35, New Mexico,009,Curry County,48716,27445,21271,22279,2332,263,688,42,52,1789,4049,887,1285,75,12469
35011,35, New Mexico,011,De Baca County,1873,724,1149,667,48,2,0,0,0,7,89,2,0,0,890
35013,35, New Mexico,013,Doña Ana County,218157,67819,150338,57666,3520,1571,2254,167,297,2344,5270,5370,3659,367,57252
35015,35, New Mexico,015,Eddy County,61096,30023,31073,27074,785,678,474,0,393,619,1412,1558,630,0,10029
35017,35, New Mexico,017,Grant County,28178,13982,14196,12821,236,352,172,3,55,343,626,845,276,3,4319
35019,35, New Mexico,019,Guadalupe County,4465,1233,3232,776,83,324,8,0,0,42,99,397,42,12,1220
35021,35, New Mexico,021,Harding County,533,314,219,237,0,0,0,7,56,14,0,4,5,7,217
35023,35, New Mexico,023,Hidalgo County,4214,1731,2483,1580,31,54,0,0,20,46,50,113,8,0,782
35025,35, New Mexico,025,Lea County,72743,28558,44185,24218,2514,490,410,0,209,717,3489,1323,451,0,15695
35027,35, New Mexico,027,Lincoln County,20084,13242,6842,12021,157,509,93,0,0,462,190,666,225,65,2271
35028,35, New Mexico,028,Los Alamos County,19169,15660,3509,13561,211,130,1043,0,0,715,316,410,1441,43,1493
35029,35, New Mexico,029,Luna County,25282,7980,17302,7077,397,167,261,16,0,62,601,270,316,16,5230
35031,35, New Mexico,031,McKinley County,72946,62370,10576,5816,352,53340,825,70,112,1855,971,58685,1078,121,5859
35033,35, New Mexico,033,Mora County,4232,714,3518,697,0,0,0,0,15,2,9,25,0,0,1786
35035,35, New Mexico,035,Otero County,67298,40941,26357,31683,2121,3998,747,96,189,2107,3722,5713,1691,421,10555
35037,35, New Mexico,037,Quay County,8675,4675,4000,4148,129,83,41,23,10,241,231,404,269,42,1415
35039,35, New Mexico,039,Rio Arriba County,40347,11563,28784,4767,198,5757,203,9,357,272,377,7153,252,25,16540
35041,35, New Mexico,041,Roosevelt County,19223,10835,8388,9584,416,66,123,16,94,536,581,387,256,33,4597
35043,35, New Mexico,043,Sandoval County,147327,88008,59319,61808,2888,16987,2048,126,219,3932,4925,22153,4006,426,22449
35045,35, New Mexico,045,San Juan County,122912,96604,26308,44936,797,46310,774,40,313,3434,2233,51470,1433,159,11162
35047,35, New Mexico,047,San Miguel County,27357,6057,21300,4544,344,299,265,0,155,450,754,850,335,14,9631
35049,35, New Mexico,049,Santa Fe County,153632,75285,78347,64966,1159,3746,1932,206,445,2831,2305,7360,3079,419,28332
35051,35, New Mexico,051,Sierra County,11512,7858,3654,7207,30,274,97,0,5,245,54,683,127,0,1207
35053,35, New Mexico,053,Socorro County,16605,8210,8395,5485,126,1892,312,0,0,395,378,2196,375,0,2660
35055,35, New Mexico,055,Taos County,34322,14836,19486,12167,43,1683,237,4,71,631,235,2593,325,70,6523
35057,35, New Mexico,057,Torrance County,15150,8463,6687,7400,282,160,112,0,124,385,440,404,191,71,2907
35059,35, New Mexico,059,Union County,4122,2344,1778,2114,45,52,1,0,0,132,78,330,1,0,579
35061,35, New Mexico,061,Valencia County,75992,29435,46557,23766,957,2648,462,0,131,1471,1609,5785,1589,137,15867
